ukprn,university,kiscourseid,title,crseurl,provadd
10007158,University of Southampton,217,Ship Science,https://www.southampton.ac.uk/courses/maritime-engineering-degree-beng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,218,Ship Science,https://www.southampton.ac.uk/courses/maritime-engineering-degree-meng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,227,Environmental Science with Foundation year,https://www.southampton.ac.uk/courses/environmental-science-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,23,Marine Biology (4 years),https://www.southampton.ac.uk/courses/marine-biology-degree-msci,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,230,Physics,https://www.southampton.ac.uk/courses/physics-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,231,Physics (4 years),https://www.southampton.ac.uk/courses/physics-degree-mphys,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,235,Physics with Astronomy (4 years),https://www.southampton.ac.uk/courses/physics-with-astronomy-degree-mphys,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,236,Physics with Space Science (4 years),https://www.southampton.ac.uk/courses/physics-with-space-science-degree-mphys,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,238,Physics with Mathematics (4 years),https://www.southampton.ac.uk/courses/physics-with-mathematics-degree-mphys,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,239,Computer Science,https://www.southampton.ac.uk/courses/computer-science-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,240,Computer Science,https://www.southampton.ac.uk/courses/computer-science-degree-meng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,244,Software Engineering,https://www.southampton.ac.uk/courses/software-engineering-degree-beng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,245,Computer Science with Artificial Intelligence,https://www.southampton.ac.uk/courses/computer-science-with-artificial-intelligence-degree-meng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,248,Software Engineering,https://www.southampton.ac.uk/courses/software-engineering-degree-meng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,249,Electrical Engineering (4 years),https://www.southampton.ac.uk/courses/electrical-engineering-degree-meng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,25,Oceanography,https://www.southampton.ac.uk/courses/oceanography-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,250,Electronic Engineering (4 years),https://www.southampton.ac.uk/courses/electronic-engineering-degree-meng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,251,Electronic Engineering,https://www.southampton.ac.uk/courses/electronic-engineering-degree-beng,"University Road, Southampton, SO17 1BJ"
