uni_address,ukprn,university,kiscourseid,degree_type,programme,salary_respondents,salary_lq,salary_median,salary_uq,overall_rating,student_experience_rating,student_outcomes_rating,option_sandwich_year,option_year_abroad,option_foundation_year,option_distance_learning,crseurl,supporturl,lturl,employurl,qs_uni_name
"University Avenue, Glasgow, G12 8QQ",10007794,University of Glasgow,NVF5-2000,MA,Business & Management/Philosophy,50,24250,27650,31150,This University does not provide TEF Data.,This University does not provide TEF Data.,This University does not provide TEF Data.,No,Yes,No,No,http://www.gla.ac.uk/undergraduate/degrees/businessmanagement/,https://www.gla.ac.uk/myglasgow/registry/finance/,http://www.gla.ac.uk/t4/progspecs/files/2016/MA_Hons_Philosophy_(Joint)_A1HV700H.pdf,http://www.gla.ac.uk/undergraduate/degrees/businessmanagement/,University of Glasgow
"University Avenue, Glasgow, G12 8QQ",10007794,University of Glasgow,CN82-2308,MA(SocSci),Business & Management/Psychology,50,25000,28250,31450,This University does not provide TEF Data.,This University does not provide TEF Data.,This University does not provide TEF Data.,No,Yes,No,No,http://www.gla.ac.uk/undergraduate/degrees/psychology/,https://www.gla.ac.uk/myglasgow/registry/finance/,https://www.gla.ac.uk/t4/progspecs/files/2018/MA_JOINT_HONS_BUSINESS_AND_MANAGEMENT_N200-2308H__Programme_Specification_Document.pdf,http://www.gla.ac.uk/undergraduate/degrees/psychology/,University of Glasgow
"University Avenue, Glasgow, G12 8QQ",10007794,University of Glasgow,NR27-2034,MA,Business & Management/Russian,65,22923.07692307692,26923.07692307692,30423.07692307692,This University does not provide TEF Data.,This University does not provide TEF Data.,This University does not provide TEF Data.,Yes,Yes,No,No,http://www.gla.ac.uk/undergraduate/degrees/businessmanagement/,https://www.gla.ac.uk/myglasgow/registry/finance/,http://www.gla.ac.uk/t4/progspecs/files/2016/MA_Hons_Russian_R710-2034H.pdf,http://www.gla.ac.uk/undergraduate/degrees/businessmanagement/,University of Glasgow
"University Avenue, Glasgow, G12 8QQ",10007794,University of Glasgow,L112-2308,MA(SocSci),Business Economics,25,28000,30000,36000,This University does not provide TEF Data.,This University does not provide TEF Data.,This University does not provide TEF Data.,No,Yes,No,No,http://www.gla.ac.uk/undergraduate/degrees/businesseconomics/,https://www.gla.ac.uk/myglasgow/registry/finance/,https://www.gla.ac.uk/t4/progspecs/files/2018/Business_Economics_Programme_Spec_L112-2308.pdf,http://www.gla.ac.uk/undergraduate/degrees/businesseconomics/,University of Glasgow
"University Avenue, Glasgow, G12 8QQ",10007794,University of Glasgow,LV13-2308,MA(SocSci),Business Economics/Economic & Social History,65,23692.30769230769,26923.07692307692,32923.07692307692,This University does not provide TEF Data.,This University does not provide TEF Data.,This University does not provide TEF Data.,No,Yes,No,No,http://www.gla.ac.uk/undergraduate/degrees/businesseconomics/,https://www.gla.ac.uk/myglasgow/registry/finance/,http://www.gla.ac.uk/t4/progspecs/files/2016/MA_(Social_Sciences)_Honours_Economic_and_Social_History_HALF_V300-2308H.pdf,http://www.gla.ac.uk/undergraduate/degrees/businesseconomics/,University of Glasgow
"University Avenue, Glasgow, G12 8QQ",10007794,University of Glasgow,LLC7-2308,MA(SocSci),Business Economics/Geography,35,27714.285714285714,29428.571428571428,34571.42857142857,This University does not provide TEF Data.,This University does not provide TEF Data.,This University does not provide TEF Data.,No,Yes,No,No,http://www.gla.ac.uk/undergraduate/degrees/businesseconomics/,https://www.gla.ac.uk/myglasgow/registry/finance/,http://www.gla.ac.uk/t4/progspecs/files/2016/Existing_Bus_Economics_(Joint)Programme_Spec_L112-2308h.pdf,http://www.gla.ac.uk/undergraduate/degrees/businesseconomics/,University of Glasgow
"University Avenue, Glasgow, G12 8QQ",10007794,University of Glasgow,LG11-2308,MA(SocSci),Business Economics/Mathematics,45,25777.777777777777,29777.777777777777,34444.444444444445,This University does not provide TEF Data.,This University does not provide TEF Data.,This University does not provide TEF Data.,No,Yes,No,No,http://www.gla.ac.uk/undergraduate/degrees/businesseconomics/,https://www.gla.ac.uk/myglasgow/registry/finance/,http://www.gla.ac.uk/t4/progspecs/files/2016/Existing_Bus_Economics_(Joint)Programme_Spec_L112-2308h.pdf,http://www.gla.ac.uk/undergraduate/degrees/businesseconomics/,University of Glasgow
"University Avenue, Glasgow, G12 8QQ",10007794,University of Glasgow,LV15-2308,MA(SocSci),Business Economics/Philosophy,40,25562.5,27562.5,33000,This University does not provide TEF Data.,This University does not provide TEF Data.,This University does not provide TEF Data.,No,Yes,No,No,http://www.gla.ac.uk/undergraduate/degrees/businesseconomics/,https://www.gla.ac.uk/myglasgow/registry/finance/,http://www.gla.ac.uk/t4/progspecs/files/2016/Existing_Bus_Economics_(Joint)Programme_Spec_L112-2308h.pdf,http://www.gla.ac.uk/undergraduate/degrees/businesseconomics/,University of Glasgow
"University Avenue, Glasgow, G12 8QQ",10007794,University of Glasgow,LLC2-2308,MA(SocSci),Business Economics/Politics,55,25272.727272727272,28363.636363636364,32727.272727272728,This University does not provide TEF Data.,This University does not provide TEF Data.,This University does not provide TEF Data.,No,Yes,No,No,http://www.gla.ac.uk/undergraduate/degrees/businesseconomics/,https://www.gla.ac.uk/myglasgow/registry/finance/,http://www.gla.ac.uk/t4/progspecs/files/2016/Existing_Bus_Economics_(Joint)Programme_Spec_L112-2308h.pdf,http://www.gla.ac.uk/undergraduate/degrees/politics/,University of Glasgow
"University Avenue, Glasgow, G12 8QQ",10007794,University of Glasgow,LC18-2308,MA(SocSci),Business Economics/Psychology,40,26500,28312.5,33375,This University does not provide TEF Data.,This University does not provide TEF Data.,This University does not provide TEF Data.,No,Yes,No,No,http://www.gla.ac.uk/undergraduate/degrees/businesseconomics/,https://www.gla.ac.uk/myglasgow/registry/finance/,http://www.gla.ac.uk/t4/progspecs/files/2016/Existing_Bus_Economics_(Joint)Programme_Spec_L112-2308h.pdf,http://www.gla.ac.uk/undergraduate/degrees/businesseconomics/,University of Glasgow
"University Avenue, Glasgow, G12 8QQ",10007794,University of Glasgow,LVD2-2308,MA(SocSci),Business Economics/Scottish History,65,23692.30769230769,26923.07692307692,32923.07692307692,This University does not provide TEF Data.,This University does not provide TEF Data.,This University does not provide TEF Data.,No,Yes,No,No,http://www.gla.ac.uk/undergraduate/degrees/businesseconomics/,https://www.gla.ac.uk/myglasgow/registry/finance/,https://www.gla.ac.uk/t4/progspecs/files/2017/Scottish_History_Joint_programme_specification_V212-2000H.pdf,http://www.gla.ac.uk/undergraduate/degrees/businesseconomics/,University of Glasgow
"University Avenue, Glasgow, G12 8QQ",10007794,University of Glasgow,LLC4-2308,MA(SocSci),Business Economics/Social & Public Policy,40,25375,28500,33187.5,This University does not provide TEF Data.,This University does not provide TEF Data.,This University does not provide TEF Data.,No,Yes,No,No,http://www.gla.ac.uk/undergraduate/degrees/businesseconomics/,https://www.gla.ac.uk/myglasgow/registry/finance/,http://www.gla.ac.uk/t4/progspecs/files/2016/MA(SocSci)_Hons_Public_Policy_HALF_L430-2308H.pdf,http://www.gla.ac.uk/undergraduate/degrees/businesseconomics/,University of Glasgow
"University Avenue, Glasgow, G12 8QQ",10007794,University of Glasgow,LL13-2308,MA(SocSci),Business Economics/Sociology,45,25111.11111111111,27333.333333333332,32666.666666666668,This University does not provide TEF Data.,This University does not provide TEF Data.,This University does not provide TEF Data.,No,Yes,No,No,http://www.gla.ac.uk/undergraduate/degrees/sociology/,https://www.gla.ac.uk/myglasgow/registry/finance/,http://www.gla.ac.uk/t4/progspecs/files/2016/Existing_Bus_Economics_(Joint)Programme_Spec_L112-2308h.pdf,http://www.gla.ac.uk/undergraduate/degrees/sociology/,University of Glasgow
"University Avenue, Glasgow, G12 8QQ",10007794,University of Glasgow,RQR5-2000,MA,Celtic Civilisation/Central & East European Studies,100,21050,24000,29050,This University does not provide TEF Data.,This University does not provide TEF Data.,This University does not provide TEF Data.,No,Yes,No,No,http://www.gla.ac.uk/undergraduate/degrees/celticcivilisation/,https://www.gla.ac.uk/myglasgow/registry/finance/,https://www.gla.ac.uk/t4/progspecs/files/2018/MA_Celtic_Civilisation_Joint_Honours_Q501-2000H.pdf,http://www.gla.ac.uk/undergraduate/degrees/celticcivilisation/,University of Glasgow
