university,kiscourseid,title,crseurl,degree_type,a_level_grade_req,a_level_subject_reqs,ib_grade_req,ib_subject_req,provaddress,ukprn,median_salary,foundation_year_available,placement_year,year_abroad
Durham University,F800,Geography,https://www.durham.ac.uk/study/courses/f800/,BSc,AAA,A level offer – AAA or A*AB including Geography or a science subject. Contextual offer – BBB/ABC including Geography or a science subject.,37,"IB Diploma score – 37 with 666 in higher level subjects, including one science subject or Geography.","The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,28500,Yes,Yes,Yes
Durham University,FF3N,Physics and Astronomy,https://www.durham.ac.uk/study/courses/ff3n/,MPhys,A*A*A,A level offer – A*A*A including Physics and Mathematics. Contextual offer – A*AB including A*A in Physics and Mathematics (either way round).,38,"IB Diploma score – 38 with 776 in higher level subjects, including Mathematics (maths analysis & approaches) and Physics.","The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,34000,No,No,No
Durham University,FGC0,Natural Sciences,https://www.durham.ac.uk/study/courses/fgc0/,MSci,A*AA,"A level offer – A*AA. All applicants taking A levels will need three A levels with at least one Science (Biology; Human Biology; Chemistry; Mathematics; Physics.) The standard offer is A*AA and you will need specific A level grades to study: To study Biology, an A at A level is required in either Biology or Chemistry; To study Chemistry, A*A at A level is required in Chemistry and Mathematics (either way round); To study Computer Science, an A at A level is required in Mathematics; To study Economics, an A at A level is required in Mathematics; To study Mathematics, A*A at A level in Mathematics and Further Mathematics (either way round) is required, or A* in Mathematics and A at AS Further Mathematics for students unable to take A Level Further Mathematics; To study Physics, A*A at A level is required in Physics and Mathematics (either way round). Contextual offer – AAB/A*AC",38,IB Diploma score – 38 All applicants taking the International Baccalaureate will need a score of 38 points overall including either 766 or 666 at the Higher Level with at least one of these in a Science (Biology; Chemistry; Mathematics (maths analysis & approaches); Physics.) You will need specific Higher Level grades to study:,"The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,32000,No,Yes,No
Durham University,G100,Mathematics,https://www.durham.ac.uk/study/courses/g100/,BSc,A*A*A,A level offer – A*A*A including A*A* in Mathematics and Further Mathematics or A*AA including A*A in Mathematics and Further Mathematics and a suitable performance in an accepted mathematics test. Contextual offer – A*A*C including A*A* in Mathematics and Further Mathematics or A*AB including A*A in Mathematics and Further Mathematics or A*AC including A*A in Mathematics and Further Mathematics and a suitable performance in an accepted mathematics test.,38,"IB Diploma score – 38 with 776 in higher level subjects, including a 7 in Higher Level Mathematics (Analysis & Approaches) or 766 in higher level subjects, including a 7 in Higher Level Mathematics (Analysis & Approaches) and a suitable performance in an accepted mathematics test.","The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,33000,No,Yes,Yes
Durham University,G103,Mathematics,https://www.durham.ac.uk/study/courses/g103/,MMath,A*A*A,A level offer – A*A*A including A*A* in Mathematics and Further Mathematics or A*AA including A*A in Mathematics and Further Mathematics and a suitable performance in an accepted mathematics test. Contextual offer – A*A*C including A*A* in Mathematics and Further Mathematics or A*AB including A*A in Mathematics and Further Mathematics or A*AC including A*A in Mathematics and Further Mathematics and a suitable performance in an accepted mathematics test.,38,"IB Diploma score – 38 with 776 in higher level subjects, including a 7 in Higher Level Mathematics (Analysis & Approaches) or 766 in higher level subjects, including a 7 in Higher Level Mathematics (Analysis & Approaches) and a suitable performance in an accepted mathematics test.","The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,33000,No,Yes,Yes
Durham University,G111,Mathematics and Statistics,https://www.durham.ac.uk/study/courses/g111/,BSc,A*A*A,A level offer – A*A*A including A*A* in Mathematics and Further Mathematics or A*AA including A*A in Mathematics and Further Mathematics and a suitable performance in an accepted mathematics test. Contextual offer – A*A*C including A*A* in Mathematics and Further Mathematics or A*AB including A*A in Mathematics and Further Mathematics or A*AC including A*A in Mathematics and Further Mathematics and a suitable performance in an accepted mathematics test.,38,"IB Diploma score – 38 with 776 in higher level subjects, including a 7 in Higher Level Mathematics (Analysis & Approaches) or 766 in higher level subjects, including a 7 in Higher Level Mathematics (Analysis & Approaches) and a suitable performance in an accepted mathematics test.","The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,33000,No,Yes,Yes
Durham University,G114,Mathematics and Statistics,https://www.durham.ac.uk/study/courses/g114/,MMath,A*A*A,A level offer – A*A*A including A*A* in Mathematics and Further Mathematics or A*AA including A*A in Mathematics and Further Mathematics and a suitable performance in an accepted mathematics test. Contextual offer – A*A*C including A*A* in Mathematics and Further Mathematics or A*AB including A*A in Mathematics and Further Mathematics or A*AC including A*A in Mathematics and Further Mathematics and a suitable performance in an accepted mathematics test.,38,"IB Diploma score – 38 with 776 in higher level subjects, including a 7 in Higher Level Mathematics (Analysis & Approaches) or 766 in higher level subjects, including a 7 in Higher Level Mathematics (Analysis & Approaches) and a suitable performance in an accepted mathematics test.","The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,33000,No,Yes,Yes
Durham University,G400,Computer Science,https://www.durham.ac.uk/study/courses/g400/,BSc,A*AA,A level offer – A*AA including A in Mathematics. Contextual offer – AAB including A in Mathematics.,38,"IB Diploma score – 38 with 666 in higher level subjects, including Mathematics.","The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,40500,No,Yes,Yes
Durham University,H100,General Engineering,https://www.durham.ac.uk/study/courses/h100/,MEng,A*AA,"A level offer – A*AA including Mathematics and one of either Biology, Chemistry, Geology or Physics. Contextual offer – AAB including A in Mathematics and one of either Biology, Chemistry, Geology or Physics.",38,"IB Diploma score – 38 with 666 in higher level subjects including Mathematics and one STEM subject (Biology, Chemistry or Physics).","The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,33000,No,Yes,Yes
Durham University,H103,General Engineering,https://www.durham.ac.uk/study/courses/h103/,BEng,A*AA,"A level offer – A*AA including Mathematics and one of either Biology, Chemistry, Geology or Physics. Contextual offer – AAB including A in Mathematics and one of either Biology, Chemistry, Geology or Physics.",38,"IB Diploma score – 38 with 666 in higher level subjects, including Mathematics and one STEM subject (Biology, Chemistry or Physics).","The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,33000,No,Yes,Yes
