kiscourseid,url,degree_type,degree_title,a_level_grade_req,a_level_subject_reqs,ib_grade_req,ib_subject_req
K0316,https://www.birmingham.ac.uk/undergraduate/courses/jointhonours/english-and-history-of-art.aspx,BA,English Literature and History of Art,ABB,ABB to include English Literature or English Language and Literature.,32,"6,5,5 32 points overall."
K0318,https://www.birmingham.ac.uk/undergraduate/courses/jointhonours/english-and-classical-literature-and-civilisation.aspx,BA,English Literature and Classical Literature & Civilisation,ABB,ABB to include English Literature/English Literature and Language.,32,"6,5,5 including 32 points overall. See below for full information."
K0325,https://www.birmingham.ac.uk/undergraduate/courses/jointhonours/english-literature-and-history.aspx,BA,English Literature and History,AAB,AAB including A level English Literature or English Language and Literature. See below for full information.,32,"6,6,5 including a 5 in English and 32 points overall. See below for full information."
K0331,https://www.birmingham.ac.uk/undergraduate/courses/jointhonours/english-literature-and-philosophy.aspx,BA,English Literature and Philosophy,AAB,AAB including English Literature or English Language and Literature.,,"6,6,5 see below for full information."
K0336,https://www.birmingham.ac.uk/undergraduate/courses/mechanical-engineering/mechanical-engineering-automotive-beng.aspx,BEng,Mechanical Engineering (Automotive),AAB,AAB to include A-level Mathematics. Further Mathematics and Physics are not required but are advantageous.,32,"6,6,5 at Higher Level (including Mathematics) with 32 points overall."
K0337,https://www.birmingham.ac.uk/undergraduate/courses/mechanical-engineering/mechanical-engineering-automotive-meng.aspx,MEng,Mechanical Engineering (Automotive),AAA,AAA to include A-level Mathematics. Further Mathematics and Physics are not required but are advantageous.,32,"6,6,6 at Higher Level (including Mathematics) with 32 points overall."
K0341,https://www.birmingham.ac.uk/undergraduate/courses/sportex/sport-pe-coaching-bp.aspx,BSc,"Sport, PE and Coaching Science",AAB,AAB - ABB dependent on the number of preferred subjects included,32,"6,6,5 - 6,5,5 in Higher level subjects plus 32 points overall, dependent on the number of preferred subjects as defined for the A-level qualification."
K0344,https://www.birmingham.ac.uk/undergraduate/courses/jointhonours/drama-and-english.aspx,BA,Drama and English Literature,AAB,AAB to include A level English Literature or equivalent.,32,"6,6,5 including 32 points overall."
K0351,https://www.birmingham.ac.uk/undergraduate/courses/english/english-lang.aspx,BA,English Language and Linguistics,AAB,AAB - ABB See below for full information.,32,"6,6,5 including 32 points overall."
K0352,https://www.birmingham.ac.uk/undergraduate/courses/gees/geography-bsc-abroad.aspx,BSc,Geography with Year Abroad,AAB,AAB,32,"6,6,5 32 points overall."
K0353,https://www.birmingham.ac.uk/undergraduate/courses/gees/geography-ba-abroad.aspx,BA,Geography with Year Abroad,AAB,AAB,32,"6,6,5 32 points overall."
K0355,https://www.birmingham.ac.uk/undergraduate/courses/psychology/psychology-practice.aspx,MSci,Psychology and Psychological Practice,A*AA,A*AA including Chemistry / Biology / Human Biology / Physics / Psychology / Maths / Further Maths / Statistics,32,"7,6,6  at Higher Level with a minimum of 32 points overall"
K0357,https://www.birmingham.ac.uk/undergraduate/courses/govsoc/international-relations-economics.aspx,BA,International Relations with Economics,AAB,AAB,32,"6,6,5 at Higher Level with a minimum of 32 points overall"
K0358,https://www.birmingham.ac.uk/undergraduate/courses/govsoc/politics-international-relations.aspx,BA,Politics and International Relations,AAB,AAB,32,"6,6,5 at Higher Level with a minimum of 32 points overall"
K0359,https://www.birmingham.ac.uk/undergraduate/courses/govsoc/international-relations-french.aspx,BA,International Relations with French,AAB,AAB and including at least a B in French,32,"6,6,5 at Higher Level with a minimum of 32 points overall"
K0360,https://www.birmingham.ac.uk/undergraduate/courses/govsoc/international-relations-german.aspx,,,,,,
