kiscourseid,title,crseurl
UBAGERARUS18,German and Russian,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-russian-ba
UBAGERASPA18,German and Spanish,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-spanish-ba
UBAGERASRB18,German and Serbian/Croatian,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-serbian-croatian-ba
UBAGERASWE18,German and Swedish,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-swedish-ba
UBAGERAUKR18,German and Ukrainian,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-ukrainian-ba
UBAGERAYID18,German and Yiddish,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-yiddish-ba
UBAGERSING18,German,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-ba
UBAGERWFLM18,German with Film Studies,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-film-studies-ba
UBAGERWMAN18,German with Management Studies,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-management-studies-ba
UBAHARSING18,History of Art,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/history-art-ba
UBAHEBAHUN18,Hebrew and Hungarian,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hebrew-and-hungarian-ba
UBAHEBAITA18,Hebrew and Italian,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hebrew-and-italian-ba
UBAHEBAJEW18,Hebrew and Jewish Studies,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hebrew-and-jewish-studies-ba
UBAHEBAJWA18,Hebrew and Jewish Studies,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hebrew-and-jewish-studies-year-abroad-ba
UBAHEBANOR18,Hebrew and Norwegian,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hebrew-and-norwegian-ba
UBAHEBAPOL18,Hebrew and Polish,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hebrew-and-polish-ba
UBAHEBAROM18,Hebrew and Romanian,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hebrew-and-romanian-ba
UBAHEBASPA18,Hebrew and Spanish,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hebrew-and-spanish-ba
UBAHEBASRB18,Hebrew and Serbian/Croatian,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hebrew-and-serbian-croatian-ba
UBAHEBASWE18,Hebrew and Swedish,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hebrew-and-swedish-ba
UBAHEBAUKR18,Hebrew and Ukrainian,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hebrew-and-ukrainian-ba
UBAHISSANC18,Ancient History,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/ancient-history-ba
UBAHISSING18,History,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/history-ba
UBAHISWABR18,History with a Year Abroad,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/history-year-abroad-ba
UBAHPASING18,History and Politics of the Americas,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/history-and-politics-americas-ba
UBAHPAWABR18,History and Politics of the Americas with a Year Abroad,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/history-and-politics-americas-year-abroad-ba
UBAHPESING18,"History, Politics and Economics",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/history-politics-and-economics-ba
UBAHSEAJEW19,History (Central and East European) and Jewish Studies,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/history-central-and-east-european-and-jewish-studies-year-abroad-ba
UBAHUNAEES18,Hungarian and East European Studies,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hungarian-and-east-european-studies-ba
UBAHUNAITA18,Hungarian and Italian,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hungarian-and-italian-ba
UBAHUNANOR18,Hungarian and Norwegian,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hungarian-and-norwegian-ba
UBAHUNAPOL18,Hungarian and Polish,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hungarian-and-polish-ba
UBAHUNAPOR18,Hungarian and Portuguese,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hungarian-and-portuguese-ba
UBAHUNAROM18,Hungarian and Romanian,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hungarian-and-romanian-ba
UBAHUNARUS18,Hungarian and Russian,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hungarian-and-russian-ba
UBAHUNASPA18,Hungarian and Spanish,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hungarian-and-spanish-ba
UBAHUNASRB18,Hungarian and Serbian/Croatian,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hungarian-and-serbian-croatian-ba
UBAHUNASWE18,Hungarian and Swedish,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hungarian-and-swedish-ba
UBAHUNAUKR18,Hungarian and Ukrainian,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hungarian-and-ukrainian-ba
UBAHUNAYID18,Hungarian and Yiddish,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hungarian-and-yiddish-ba
UBAINTSSPS18,International Social and Political Studies,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/international-social-and-political-studies-ba
UBAITAAHAR18,Italian and History of Art,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/italian-and-history-art-ba
UBAITAALAT18,Italian and Latin,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/italian-and-latin-ba
UBAITAAMAN18,Italian and Management Studies,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/italian-and-management-studies-ba
UBAITAANOR18,Italian and Norwegian,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/italian-and-norwegian-ba
UBAITAAPHI18,Italian and Philosophy,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/italian-and-philosophy-ba
UBAITAAPOL18,Italian and Polish,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/italian-and-polish-ba
UBAITAAPOR18,Italian and Portuguese,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/italian-and-portuguese-ba
UBAITAAROM18,Italian and Romanian,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/italian-and-romanian-ba
UBAITAARUS18,Italian and Russian,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/italian-and-russian-ba
UBAITAASPA18,Italian and Spanish,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/italian-and-spanish-ba
UBAITAASRB18,Italian and Serbian/Croatian,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/italian-and-serbian-croatian-ba
UBAITAASWE18,Italian and Swedish,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/italian-and-swedish-ba
UBAITAAUKR18,Italian and Ukrainian,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/italian-and-ukrainian-ba
UBAITAAYID18,Italian and Yiddish,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/italian-and-yiddish-ba
UBAITASDUA18,Italian Studies: UCL-Venice Double Degree,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/italian-studies-ucl-venice-double-degree-ba
UBAITASING18,Italian,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/italian-ba
UBAITAWFLM18,Italian with Film Studies,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/italian-film-studies-ba
UBALATAENG18,Latin and English,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/latin-and-english-ba
UBALINSING18,Linguistics,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/linguistics-ba
UBALINSINT18,Linguistics (International Programme),https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/linguistics-international-programme-ba
UBALNGSANA18,Ancient Languages,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/ancient-languages-year-abroad-ba
UBALNGSANC18,Ancient Languages,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/ancient-languages-ba
UBALNGSCLT18,Language and Culture,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/language-and-culture-ba
UBAMEDUCCM20,Media,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/media-ba
UBANORAPOL18,Norwegian and Polish,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/norwegian-and-polish-ba
UBANORAPOR18,Norwegian and Portuguese,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/norwegian-and-portuguese-ba
UBANORAROM18,Norwegian and Romanian,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/norwegian-and-romanian-ba
UBANORARUS18,Norwegian and Russian,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/norwegian-and-russian-ba
UBANORASPA18,Norwegian and Spanish,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/norwegian-and-spanish-ba
UBANORASRB18,Norwegian and Serbian/Croatian,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/norwegian-and-serbian-croatian-ba
UBANORAUKR18,Norwegian and Ukrainian,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/norwegian-and-ukrainian-ba
UBANORAYID18,Norwegian and Yiddish,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/norwegian-and-yiddish-ba
UBAPHIACOM18,Philosophy and Computer Science,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/philosophy-and-computer-science-ba
UBAPHIAECO18,Philosophy and Economics,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/philosophy-and-economics-ba
UBAPHIAHAR18,Philosophy and History of Art,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/philosophy-and-history-art-ba
UBAPHISING18,Philosophy,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/philosophy-ba
UBAPLSAEEA18,"Politics, Sociology and East European Studies",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/politics-sociology-and-east-european-studies-year-abroad-ba
UBAPLSAEES18,"Politics, Sociology and East European Studies",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/politics-sociology-and-east-european-studies-ba
UBAPOLAPOR18,Polish and Portuguese,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/polish-and-portuguese-ba
UBAPOLAROM18,Polish and Romanian,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/polish-and-romanian-ba
UBAPOLARUS18,Polish and Russian,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/polish-and-russian-ba
UBAPOLASPA18,Polish and Spanish,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/polish-and-spanish-ba
UBAPOLASRB18,Polish and Serbian/Croatian,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/polish-and-serbian-croatian-ba
UBAPOLASWE18,Polish and Swedish,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/polish-and-swedish-ba
UBAPOLAUKR18,Polish and Ukrainian,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/polish-and-ukrainian-ba
UBAPOLAYID18,Polish and Yiddish,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/polish-and-yiddish-ba
UBAPSHAEES18,Polish and East European Studies,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/polish-and-east-european-studies-ba
UBAROMAEES18,Romanian and East European Studies,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/romanian-and-east-european-studies-ba
UBAROMAPOR18,Romanian and Portuguese,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/romanian-and-portuguese-ba
UBAROMARUS18,Romanian and Russian,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/romanian-and-russian-ba
UBAROMASPA18,Romanian and Spanish,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/romanian-and-spanish-ba
UBAROMASRB18,Romanian and Serbian/Croatian,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/romanian-and-serbian-croatian-ba
UBAROMASWE18,Romanian and Swedish,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/romanian-and-swedish-ba
UBAROMAUKR18,Romanian and Ukrainian,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/romanian-and-ukrainian-ba
UBAROMAYID18,Romanian and Yiddish,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/romanian-and-yiddish-ba
UBARUSAHSE18,Russian and History,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/russian-and-history-ba
UBARUSAPOR18,Russian and Portuguese,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/russian-and-portuguese-ba
UBARUSASPA18,Russian and Spanish,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/russian-and-spanish-ba
UBARUSASRB18,Russian and Serbian/Croatian,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/russian-and-serbian-croatian-ba
UBARUSASWE18,Russian and Swedish,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/russian-and-swedish-ba
UBARUSAUKR18,Russian and Ukrainian,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/russian-and-ukrainian-ba
