Course Title,Course code/ Route code,Highly skilled work marker,Industry sector - main,Location of employment (region),Work - Standard occupational classification 2020
PGCE Citizenship,TEPSECSCTZ01/TEPSECSCTZ01,High-skilled,Teaching or other educational activities,London,Secondary education teaching professionals
PGCE Citizenship,TEPSECSCTZ01/TEPSECSCTZ01,High-skilled,Teaching or other educational activities,London,Special needs education teaching professionals
PGCE Citizenship,TEPSECSCTZ01/TEPSECSCTZ01,High-skilled,Teaching or other educational activities,South East,Secondary education teaching professionals
PGCE Citizenship,TEPSECSCTZ01/TEPSECSCTZ01,Low-skilled,"Hospitality, Leisure and Tourism",London,Waiters and waitresses
PGCE Citizenship,TEPSECSCTZ01/TEPSECSCTZ01,Medium-skilled,Teaching or other educational activities,London,Other administrative occupations n.e.c.
PGCE Economics,TEPSECSECO01/TEPSECSECO01,High-skilled,,London,Secondary education teaching professionals
MA Special and Inclusive Education,TEPSECSENG01/TEPSECSENG01,High-skilled,Teaching or other educational activities,London,Primary education teaching professionals
PGCE English,TEPSECSENG01/TEPSECSENG01,High-skilled,,East of England,Secondary education teaching professionals
PGCE English,TEPSECSENG01/TEPSECSENG01,High-skilled,,England region unknown,Secondary education teaching professionals
PGCE English,TEPSECSENG01/TEPSECSENG01,High-skilled,,London,Secondary education teaching professionals
PGCE English,TEPSECSENG01/TEPSECSENG01,High-skilled,,London,Teaching professionals n.e.c.
PGCE English,TEPSECSENG01/TEPSECSENG01,High-skilled,,Middle East,Secondary education teaching professionals
PGCE English,TEPSECSENG01/TEPSECSENG01,High-skilled,,Not known,Secondary education teaching professionals
PGCE English,TEPSECSENG01/TEPSECSENG01,High-skilled,,South East,Primary education teaching professionals
PGCE English,TEPSECSENG01/TEPSECSENG01,High-skilled,Academic Research and HE,South East,Other educational professionals n.e.c
PGCE English,TEPSECSENG01/TEPSECSENG01,High-skilled,"Hospitality, Leisure and Tourism",London,Restaurant and catering establishment managers and proprietors
PGCE English,TEPSECSENG01/TEPSECSENG01,High-skilled,Human Resources and Recruitment,England region unknown,Secondary education teaching professionals
PGCE English,TEPSECSENG01/TEPSECSENG01,High-skilled,Human Resources and Recruitment,South West,Secondary education teaching professionals
PGCE English,TEPSECSENG01/TEPSECSENG01,High-skilled,Media,London,Human resources and industrial relations officers
PGCE English,TEPSECSENG01/TEPSECSENG01,High-skilled,Media,London,Managers and directors in the creative industries
PGCE English,TEPSECSENG01/TEPSECSENG01,High-skilled,Performance and Creative Arts,London,"Arts officers, producers and directors"
PGCE English,TEPSECSENG01/TEPSECSENG01,High-skilled,"Publishing, Journalism, or Translation",London,"Authors, writers and translators"
PGCE English,TEPSECSENG01/TEPSECSENG01,High-skilled,Teaching or other educational activities,East Midlands,Secondary education teaching professionals
PGCE English,TEPSECSENG01/TEPSECSENG01,High-skilled,Teaching or other educational activities,East of England,Secondary education teaching professionals
PGCE English,TEPSECSENG01/TEPSECSENG01,High-skilled,Teaching or other educational activities,England region unknown,Secondary education teaching professionals
PGCE English,TEPSECSENG01/TEPSECSENG01,High-skilled,Teaching or other educational activities,England region unknown,Special needs education teaching professionals
PGCE English,TEPSECSENG01/TEPSECSENG01,High-skilled,Teaching or other educational activities,England region unknown,Teaching professionals n.e.c.
PGCE English,TEPSECSENG01/TEPSECSENG01,High-skilled,Teaching or other educational activities,London,Business and financial project management professionals
PGCE English,TEPSECSENG01/TEPSECSENG01,High-skilled,Teaching or other educational activities,London,Business associate professionals n.e.c.
PGCE English,TEPSECSENG01/TEPSECSENG01,High-skilled,Teaching or other educational activities,London,Further education teaching professionals
PGCE English,TEPSECSENG01/TEPSECSENG01,High-skilled,Teaching or other educational activities,London,Managers and directors in the creative industries
PGCE English,TEPSECSENG01/TEPSECSENG01,High-skilled,Teaching or other educational activities,London,Other educational professionals n.e.c
PGCE English,TEPSECSENG01/TEPSECSENG01,High-skilled,Teaching or other educational activities,London,Primary education teaching professionals
PGCE English,TEPSECSENG01/TEPSECSENG01,High-skilled,Teaching or other educational activities,London,Secondary education teaching professionals
PGCE English,TEPSECSENG01/TEPSECSENG01,High-skilled,Teaching or other educational activities,London,Special needs education teaching professionals
PGCE English,TEPSECSENG01/TEPSECSENG01,High-skilled,Teaching or other educational activities,London,Teaching professionals n.e.c.
PGCE English,TEPSECSENG01/TEPSECSENG01,High-skilled,Teaching or other educational activities,Middle East,Teaching professionals n.e.c.
PGCE English,TEPSECSENG01/TEPSECSENG01,High-skilled,Teaching or other educational activities,North West,Secondary education teaching professionals
PGCE English,TEPSECSENG01/TEPSECSENG01,High-skilled,Teaching or other educational activities,Not known,Secondary education teaching professionals
PGCE English,TEPSECSENG01/TEPSECSENG01,High-skilled,Teaching or other educational activities,Not known,Teachers of English as a foreign language
PGCE English,TEPSECSENG01/TEPSECSENG01,High-skilled,Teaching or other educational activities,Not known,Teaching professionals n.e.c.
PGCE English,TEPSECSENG01/TEPSECSENG01,High-skilled,Teaching or other educational activities,Other European Union,Secondary education teaching professionals
PGCE English,TEPSECSENG01/TEPSECSENG01,High-skilled,Teaching or other educational activities,South East,Secondary education teaching professionals
PGCE English,TEPSECSENG01/TEPSECSENG01,High-skilled,Teaching or other educational activities,West Midlands,Secondary education teaching professionals
PGCE English,TEPSECSENG01/TEPSECSENG01,High-skilled,Teaching or other educational activities,Yorkshire and The Humber,Secondary education teaching professionals
PGCE English,TEPSECSENG01/TEPSECSENG01,High-skilled,Unknown,London,"Marketing, sales and advertising directors"
PGCE English,TEPSECSENG01/TEPSECSENG01,High-skilled,Unknown,Not known,Teaching professionals n.e.c.
PGCE English,TEPSECSENG01/TEPSECSENG01,Medium-skilled,Performance and Creative Arts,London,Other administrative occupations n.e.c.
PGCE English,TEPSECSENG01/TEPSECSENG01,Medium-skilled,Teaching or other educational activities,London,Educational support assistants
PGCE English,TEPSECSENG01/TEPSECSENG01,Not applicable,,Not known,Insufficient information to code
PGCE English,TEPSECSENG01/TEPSECSENG01,Not applicable,Unknown,Not known,
PGCE English with Drama,TEPSECSEWD01/TEPSECSEWD01,High-skilled,,England region unknown,Secondary education teaching professionals
PGCE English with Drama,TEPSECSEWD01/TEPSECSEWD01,High-skilled,,London,Business sales executives
PGCE English with Drama,TEPSECSEWD01/TEPSECSEWD01,High-skilled,,London,Secondary education teaching professionals
PGCE English with Drama,TEPSECSEWD01/TEPSECSEWD01,High-skilled,,London,Teaching professionals n.e.c.
PGCE English with Drama,TEPSECSEWD01/TEPSECSEWD01,High-skilled,,Not known,Primary education teaching professionals
PGCE English with Drama,TEPSECSEWD01/TEPSECSEWD01,High-skilled,Human Resources and Recruitment,Not known,Teaching professionals n.e.c.
PGCE English with Drama,TEPSECSEWD01/TEPSECSEWD01,High-skilled,Performance and Creative Arts,London,"Authors, writers and translators"
PGCE English with Drama,TEPSECSEWD01/TEPSECSEWD01,High-skilled,Teaching or other educational activities,Asia,Secondary education teaching professionals
PGCE English with Drama,TEPSECSEWD01/TEPSECSEWD01,High-skilled,Teaching or other educational activities,East of England,Secondary education teaching professionals
PGCE English with Drama,TEPSECSEWD01/TEPSECSEWD01,High-skilled,Teaching or other educational activities,England region unknown,Teaching professionals n.e.c.
PGCE English with Drama,TEPSECSEWD01/TEPSECSEWD01,High-skilled,Teaching or other educational activities,London,Secondary education teaching professionals
PGCE English with Drama,TEPSECSEWD01/TEPSECSEWD01,High-skilled,Teaching or other educational activities,Not known,Secondary education teaching professionals
PGCE English with Drama,TEPSECSEWD01/TEPSECSEWD01,High-skilled,Teaching or other educational activities,Not known,Teaching professionals n.e.c.
PGCE English with Drama,TEPSECSEWD01/TEPSECSEWD01,High-skilled,Teaching or other educational activities,Other European Union,Special needs education teaching professionals
PGCE English with Drama,TEPSECSEWD01/TEPSECSEWD01,High-skilled,Teaching or other educational activities,South East,Secondary education teaching professionals
PGCE English with Drama,TEPSECSEWD01/TEPSECSEWD01,High-skilled,Teaching or other educational activities,South West,Secondary education teaching professionals
PGCE English with Drama,TEPSECSEWD01/TEPSECSEWD01,High-skilled,Teaching or other educational activities,West Midlands,Secondary education teaching professionals
PGCE English with Drama,TEPSECSEWD01/TEPSECSEWD01,High-skilled,Unknown,England region unknown,Functional managers and directors n.e.c.
PGCE English with Drama,TEPSECSEWD01/TEPSECSEWD01,Not applicable,Unknown,Not known,
PGCE Geography,TEPSECSGEO01/TEPSECSGEO01,High-skilled,,England region unknown,Secondary education teaching professionals
PGCE Geography,TEPSECSGEO01/TEPSECSGEO01,High-skilled,,England region unknown,Teaching professionals n.e.c.
PGCE Geography,TEPSECSGEO01/TEPSECSGEO01,High-skilled,,London,Education managers
PGCE Geography,TEPSECSGEO01/TEPSECSGEO01,High-skilled,,London,Secondary education teaching professionals
PGCE Geography,TEPSECSGEO01/TEPSECSGEO01,High-skilled,,London,Teaching professionals n.e.c.
PGCE Geography,TEPSECSGEO01/TEPSECSGEO01,High-skilled,,Not known,Teaching professionals n.e.c.
PGCE Geography,TEPSECSGEO01/TEPSECSGEO01,High-skilled,,South East,Secondary education teaching professionals
PGCE Geography,TEPSECSGEO01/TEPSECSGEO01,High-skilled,Academic Research and HE,Northern Ireland,"Other researchers, unspecified discipline"
PGCE Geography,TEPSECSGEO01/TEPSECSGEO01,High-skilled,"Construction, Built Environment, Property",London,"Chartered architectural technologists, planning officers and consultants"
PGCE Geography,TEPSECSGEO01/TEPSECSGEO01,High-skilled,Health and Social Care,London,Sales accounts and business development managers
PGCE Geography,TEPSECSGEO01/TEPSECSGEO01,High-skilled,Security and Intelligence,London,Police officers (sergeant and below)
PGCE Geography,TEPSECSGEO01/TEPSECSGEO01,High-skilled,Teaching or other educational activities,East of England,Secondary education teaching professionals
PGCE Geography,TEPSECSGEO01/TEPSECSGEO01,High-skilled,Teaching or other educational activities,England region unknown,Secondary education teaching professionals
PGCE Geography,TEPSECSGEO01/TEPSECSGEO01,High-skilled,Teaching or other educational activities,"Guernsey, Jersey and the Isle of Man",Secondary education teaching professionals
PGCE Geography,TEPSECSGEO01/TEPSECSGEO01,High-skilled,Teaching or other educational activities,London,Secondary education teaching professionals
PGCE Geography,TEPSECSGEO01/TEPSECSGEO01,High-skilled,Teaching or other educational activities,London,Teaching professionals n.e.c.
PGCE Geography,TEPSECSGEO01/TEPSECSGEO01,High-skilled,Teaching or other educational activities,Not known,Secondary education teaching professionals
PGCE Geography,TEPSECSGEO01/TEPSECSGEO01,High-skilled,Teaching or other educational activities,South West,Secondary education teaching professionals
PGCE Geography,TEPSECSGEO01/TEPSECSGEO01,High-skilled,Teaching or other educational activities,West Midlands,Secondary education teaching professionals
MA History,TEPSECSHIS01/TEPSECSHIS01,High-skilled,Teaching or other educational activities,London,Secondary education teaching professionals
PGCE History,TEPSECSHIS01/TEPSECSHIS01,High-skilled,,East of England,Secondary education teaching professionals
PGCE History,TEPSECSHIS01/TEPSECSHIS01,High-skilled,,England region unknown,Secondary education teaching professionals
PGCE History,TEPSECSHIS01/TEPSECSHIS01,High-skilled,,London,Secondary education teaching professionals
PGCE History,TEPSECSHIS01/TEPSECSHIS01,High-skilled,,Not known,Teaching professionals n.e.c.
PGCE History,TEPSECSHIS01/TEPSECSHIS01,High-skilled,,West Midlands,Secondary education teaching professionals
PGCE History,TEPSECSHIS01/TEPSECSHIS01,High-skilled,Human Resources and Recruitment,London,Teaching professionals n.e.c.
PGCE History,TEPSECSHIS01/TEPSECSHIS01,High-skilled,Human Resources and Recruitment,South East,Teaching professionals n.e.c.
PGCE History,TEPSECSHIS01/TEPSECSHIS01,High-skilled,Teaching or other educational activities,East of England,Secondary education teaching professionals
PGCE History,TEPSECSHIS01/TEPSECSHIS01,High-skilled,Teaching or other educational activities,England region unknown,Secondary education teaching professionals
PGCE History,TEPSECSHIS01/TEPSECSHIS01,High-skilled,Teaching or other educational activities,London,Further education teaching professionals
PGCE History,TEPSECSHIS01/TEPSECSHIS01,High-skilled,Teaching or other educational activities,London,Secondary education teaching professionals
PGCE History,TEPSECSHIS01/TEPSECSHIS01,High-skilled,Teaching or other educational activities,London,Teaching professionals n.e.c.
PGCE History,TEPSECSHIS01/TEPSECSHIS01,High-skilled,Teaching or other educational activities,London,Welfare and housing associate professionals n.e.c.
PGCE History,TEPSECSHIS01/TEPSECSHIS01,High-skilled,Teaching or other educational activities,Not known,Secondary education teaching professionals
PGCE History,TEPSECSHIS01/TEPSECSHIS01,High-skilled,Teaching or other educational activities,Not known,Teaching professionals n.e.c.
PGCE History,TEPSECSHIS01/TEPSECSHIS01,High-skilled,Teaching or other educational activities,South East,Secondary education teaching professionals
PGCE History,TEPSECSHIS01/TEPSECSHIS01,Medium-skilled,"Other professional, scientific and technical activities",London,Other administrative occupations n.e.c.
PGCE History,TEPSECSHIS01/TEPSECSHIS01,Medium-skilled,Teaching or other educational activities,Yorkshire and The Humber,Educational support assistants
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,High-skilled,,Australasia,Primary education teaching professionals
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,High-skilled,,East of England,Secondary education teaching professionals
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,High-skilled,,England region unknown,Graphic and multimedia designers
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,High-skilled,,England region unknown,Secondary education teaching professionals
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,High-skilled,,London,Primary education teaching professionals
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,High-skilled,,London,Secondary education teaching professionals
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,High-skilled,,London,Teaching professionals n.e.c.
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,High-skilled,,Not known,"Authors, writers and translators"
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,High-skilled,,Other European Union,Secondary education teaching professionals
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,High-skilled,,South East,Secondary education teaching professionals
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,High-skilled,,South West,Secondary education teaching professionals
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,High-skilled,Academic Research and HE,Other European Union,Research and development (RandD) managers
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,High-skilled,"Charities, NGOs and international development",London,Welfare and housing associate professionals n.e.c.
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,High-skilled,Health and Social Care,London,Marketing associate professionals
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,High-skilled,"Hospitality, Leisure and Tourism",Not known,"Sports coaches, instructors and officials"
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,High-skilled,Human Resources and Recruitment,London,Secondary education teaching professionals
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,High-skilled,Human Resources and Recruitment,London,Teaching professionals n.e.c.
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,High-skilled,Law,Not known,Functional managers and directors n.e.c.
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,High-skilled,"Other professional, scientific and technical activities",London,"Business, research and administrative professionals n.e.c."
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,High-skilled,"Publishing, Journalism, or Translation",London,Newspaper and periodical journalists and reporters
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,High-skilled,"Publishing, Journalism, or Translation",Not known,"Authors, writers and translators"
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,High-skilled,Teaching or other educational activities,East of England,Secondary education teaching professionals
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,High-skilled,Teaching or other educational activities,East of England,Teaching professionals n.e.c.
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,High-skilled,Teaching or other educational activities,England region unknown,Secondary education teaching professionals
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,High-skilled,Teaching or other educational activities,England region unknown,Teaching professionals n.e.c.
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,High-skilled,Teaching or other educational activities,London,Primary education teaching professionals
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,High-skilled,Teaching or other educational activities,London,Secondary education teaching professionals
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,High-skilled,Teaching or other educational activities,London,Special needs education teaching professionals
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,High-skilled,Teaching or other educational activities,London,Teaching professionals n.e.c.
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,High-skilled,Teaching or other educational activities,North East,Secondary education teaching professionals
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,High-skilled,Teaching or other educational activities,North East,Teaching professionals n.e.c.
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,High-skilled,Teaching or other educational activities,Northern Ireland,Secondary education teaching professionals
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,High-skilled,Teaching or other educational activities,Not known,Secondary education teaching professionals
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,High-skilled,Teaching or other educational activities,Not known,Teaching professionals n.e.c.
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,High-skilled,Teaching or other educational activities,Other Europe,Secondary education teaching professionals
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,High-skilled,Teaching or other educational activities,South East,Primary education teaching professionals
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,High-skilled,Teaching or other educational activities,South East,Secondary education teaching professionals
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,High-skilled,Teaching or other educational activities,South East,Teaching professionals n.e.c.
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,High-skilled,Teaching or other educational activities,South West,Secondary education teaching professionals
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,High-skilled,Teaching or other educational activities,West Midlands,Secondary education teaching professionals
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,High-skilled,Teaching or other educational activities,Yorkshire and The Humber,Primary education teaching professionals
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,High-skilled,Teaching or other educational activities,Yorkshire and The Humber,Secondary education teaching professionals
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,High-skilled,Unknown,London,Human resources and industrial relations officers
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,High-skilled,Unknown,London,Teaching professionals n.e.c.
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,High-skilled,Unknown,Not known,Public relations professionals
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,High-skilled,Unknown,Not known,Teaching professionals n.e.c.
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,Low-skilled,,London,Waiters and waitresses
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,Low-skilled,,Not known,Taxi and cab drivers and chauffeurs
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,Medium-skilled,Policy and Government,London,National government administrative occupations
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,Medium-skilled,Retail and Wholesale activities,Other European Union,Personal assistants and other secretaries
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,Medium-skilled,Teaching or other educational activities,Other European Union,Teaching assistants
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,Not applicable,,Not known,Insufficient information to code
PGCE Languages,TEPSECSLAN01/TEPSECSLAN01,Not applicable,Unknown,Not known,
PGCE Mathematics,TEPSECSMAT01/TEPSECSMAT01,High-skilled,,East of England,Secondary education teaching professionals
PGCE Mathematics,TEPSECSMAT01/TEPSECSMAT01,High-skilled,,England region unknown,Secondary education teaching professionals
PGCE Mathematics,TEPSECSMAT01/TEPSECSMAT01,High-skilled,,England region unknown,Teaching professionals n.e.c.
PGCE Mathematics,TEPSECSMAT01/TEPSECSMAT01,High-skilled,,London,Secondary education teaching professionals
PGCE Mathematics,TEPSECSMAT01/TEPSECSMAT01,High-skilled,,London,Teaching professionals n.e.c.
PGCE Mathematics,TEPSECSMAT01/TEPSECSMAT01,High-skilled,,Middle East,Secondary education teaching professionals
PGCE Mathematics,TEPSECSMAT01/TEPSECSMAT01,High-skilled,,Not known,Secondary education teaching professionals
PGCE Mathematics,TEPSECSMAT01/TEPSECSMAT01,High-skilled,,Not known,Teaching professionals n.e.c.
PGCE Mathematics,TEPSECSMAT01/TEPSECSMAT01,High-skilled,,South East,"Estimators, valuers and assessors"
PGCE Mathematics,TEPSECSMAT01/TEPSECSMAT01,High-skilled,Accountancy & Financial Services,Not known,Brokers
PGCE Mathematics,TEPSECSMAT01/TEPSECSMAT01,High-skilled,Accountancy & Financial Services,Not known,Chartered and certified accountants
PGCE Mathematics,TEPSECSMAT01/TEPSECSMAT01,High-skilled,"Charities, NGOs and international development",London,Conference and exhibition managers and organisers
PGCE Mathematics,TEPSECSMAT01/TEPSECSMAT01,High-skilled,"Construction, Built Environment, Property",East of England,Finance and investment analysts and advisers
PGCE Mathematics,TEPSECSMAT01/TEPSECSMAT01,High-skilled,"IT, Technology & Telecomms",London,Programmers and software development professionals
PGCE Mathematics,TEPSECSMAT01/TEPSECSMAT01,High-skilled,Media,Not known,"Arts officers, producers and directors"
PGCE Mathematics,TEPSECSMAT01/TEPSECSMAT01,High-skilled,Teaching or other educational activities,Asia,Secondary education teaching professionals
PGCE Mathematics,TEPSECSMAT01/TEPSECSMAT01,High-skilled,Teaching or other educational activities,East of England,Secondary education teaching professionals
PGCE Mathematics,TEPSECSMAT01/TEPSECSMAT01,High-skilled,Teaching or other educational activities,England region unknown,Secondary education teaching professionals
PGCE Mathematics,TEPSECSMAT01/TEPSECSMAT01,High-skilled,Teaching or other educational activities,London,Primary education teaching professionals
PGCE Mathematics,TEPSECSMAT01/TEPSECSMAT01,High-skilled,Teaching or other educational activities,London,Secondary education teaching professionals
PGCE Mathematics,TEPSECSMAT01/TEPSECSMAT01,High-skilled,Teaching or other educational activities,London,Special needs education teaching professionals
PGCE Mathematics,TEPSECSMAT01/TEPSECSMAT01,High-skilled,Teaching or other educational activities,London,Teaching professionals n.e.c.
PGCE Mathematics,TEPSECSMAT01/TEPSECSMAT01,High-skilled,Teaching or other educational activities,North West,Secondary education teaching professionals
PGCE Mathematics,TEPSECSMAT01/TEPSECSMAT01,High-skilled,Teaching or other educational activities,North West,Teaching professionals n.e.c.
PGCE Mathematics,TEPSECSMAT01/TEPSECSMAT01,High-skilled,Teaching or other educational activities,Not known,Primary education teaching professionals
PGCE Mathematics,TEPSECSMAT01/TEPSECSMAT01,High-skilled,Teaching or other educational activities,Not known,Secondary education teaching professionals
PGCE Mathematics,TEPSECSMAT01/TEPSECSMAT01,High-skilled,Teaching or other educational activities,Not known,Teaching professionals n.e.c.
PGCE Mathematics,TEPSECSMAT01/TEPSECSMAT01,High-skilled,Teaching or other educational activities,Other European Union,Child and early years officers
PGCE Mathematics,TEPSECSMAT01/TEPSECSMAT01,High-skilled,Teaching or other educational activities,South East,Secondary education teaching professionals
PGCE Mathematics,TEPSECSMAT01/TEPSECSMAT01,High-skilled,Teaching or other educational activities,South West,Teaching professionals n.e.c.
PGCE Mathematics,TEPSECSMAT01/TEPSECSMAT01,High-skilled,Teaching or other educational activities,West Midlands,Secondary education teaching professionals
PGCE Mathematics,TEPSECSMAT01/TEPSECSMAT01,Low-skilled,,London,Bar staff
PGCE Mathematics,TEPSECSMAT01/TEPSECSMAT01,Not applicable,Unknown,Not known,
PGCE Music,TEPSECSMUS01/TEPSECSMUS01,High-skilled,,Asia,Secondary education teaching professionals
PGCE Music,TEPSECSMUS01/TEPSECSMUS01,High-skilled,,London,Primary education teaching professionals
PGCE Music,TEPSECSMUS01/TEPSECSMUS01,High-skilled,,London,Secondary education teaching professionals
PGCE Music,TEPSECSMUS01/TEPSECSMUS01,High-skilled,,London,Teaching professionals n.e.c.
PGCE Music,TEPSECSMUS01/TEPSECSMUS01,High-skilled,,South East,Secondary education teaching professionals
PGCE Music,TEPSECSMUS01/TEPSECSMUS01,High-skilled,,South East,Teaching professionals n.e.c.
PGCE Music,TEPSECSMUS01/TEPSECSMUS01,High-skilled,Performance and Creative Arts,London,"Arts officers, producers and directors"
PGCE Music,TEPSECSMUS01/TEPSECSMUS01,High-skilled,"Publishing, Journalism, or Translation",London,"Authors, writers and translators"
PGCE Music,TEPSECSMUS01/TEPSECSMUS01,High-skilled,Teaching or other educational activities,East of England,Secondary education teaching professionals
PGCE Music,TEPSECSMUS01/TEPSECSMUS01,High-skilled,Teaching or other educational activities,England region unknown,Secondary education teaching professionals
PGCE Music,TEPSECSMUS01/TEPSECSMUS01,High-skilled,Teaching or other educational activities,London,Primary education teaching professionals
PGCE Music,TEPSECSMUS01/TEPSECSMUS01,High-skilled,Teaching or other educational activities,London,Secondary education teaching professionals
PGCE Music,TEPSECSMUS01/TEPSECSMUS01,High-skilled,Teaching or other educational activities,London,Teaching professionals n.e.c.
PGCE Music,TEPSECSMUS01/TEPSECSMUS01,High-skilled,Teaching or other educational activities,North West,Secondary education teaching professionals
PGCE Music,TEPSECSMUS01/TEPSECSMUS01,High-skilled,Teaching or other educational activities,Not known,Secondary education teaching professionals
PGCE Music,TEPSECSMUS01/TEPSECSMUS01,High-skilled,Teaching or other educational activities,South East,Primary education teaching professionals
PGCE Music,TEPSECSMUS01/TEPSECSMUS01,High-skilled,Teaching or other educational activities,South East,Secondary education teaching professionals
PGCE Music,TEPSECSMUS01/TEPSECSMUS01,High-skilled,Teaching or other educational activities,West Midlands,Secondary education teaching professionals
PGCE Music,TEPSECSMUS01/TEPSECSMUS01,Not applicable,Unknown,Not known,
PGCE Science: Physics,TEPSECSPHY01/TEPSECSPHY01,High-skilled,,England region unknown,Secondary education teaching professionals
PGCE Science: Physics,TEPSECSPHY01/TEPSECSPHY01,High-skilled,,London,Programmers and software development professionals
PGCE Science: Physics,TEPSECSPHY01/TEPSECSPHY01,High-skilled,,London,Secondary education teaching professionals
PGCE Science: Physics,TEPSECSPHY01/TEPSECSPHY01,High-skilled,,Not known,Secondary education teaching professionals
PGCE Science: Physics,TEPSECSPHY01/TEPSECSPHY01,High-skilled,,Wales,Secondary education teaching professionals
PGCE Science: Physics,TEPSECSPHY01/TEPSECSPHY01,High-skilled,"Charities, NGOs and international development",London,Business and related research professionals
PGCE Science: Physics,TEPSECSPHY01/TEPSECSPHY01,High-skilled,Teaching or other educational activities,England region unknown,Secondary education teaching professionals
PGCE Science: Physics,TEPSECSPHY01/TEPSECSPHY01,High-skilled,Teaching or other educational activities,London,Information technology trainers
PGCE Science: Physics,TEPSECSPHY01/TEPSECSPHY01,High-skilled,Teaching or other educational activities,London,Secondary education teaching professionals
PGCE Science: Physics,TEPSECSPHY01/TEPSECSPHY01,High-skilled,Teaching or other educational activities,London,Teaching professionals n.e.c.
PGCE Science: Physics,TEPSECSPHY01/TEPSECSPHY01,High-skilled,Teaching or other educational activities,North West,Secondary education teaching professionals
PGCE Science: Physics,TEPSECSPHY01/TEPSECSPHY01,High-skilled,Teaching or other educational activities,Not known,Teaching professionals n.e.c.
PGCE Science: Physics,TEPSECSPHY01/TEPSECSPHY01,High-skilled,Teaching or other educational activities,South West,Secondary education teaching professionals
PGCE Science: Physics,TEPSECSPHY01/TEPSECSPHY01,Not applicable,Unknown,Not known,
PGCE Psychology,TEPSECSPSY01/TEPSECSPSY01,High-skilled,,East of England,Secondary education teaching professionals
PGCE Psychology,TEPSECSPSY01/TEPSECSPSY01,High-skilled,,England region unknown,Secondary education teaching professionals
PGCE Psychology,TEPSECSPSY01/TEPSECSPSY01,High-skilled,,London,Secondary education teaching professionals
PGCE Psychology,TEPSECSPSY01/TEPSECSPSY01,High-skilled,,North West,Secondary education teaching professionals
PGCE Psychology,TEPSECSPSY01/TEPSECSPSY01,High-skilled,,South East,Secondary education teaching professionals
PGCE Psychology,TEPSECSPSY01/TEPSECSPSY01,High-skilled,Performance and Creative Arts,Not known,"Authors, writers and translators"
PGCE Psychology,TEPSECSPSY01/TEPSECSPSY01,High-skilled,Teaching or other educational activities,East of England,Secondary education teaching professionals
