pubukprn,ukprn,kiscourseid,title,crseurl,sandwich,yearabroad,foundation,perc_managers_directors_and_senior_officials,perc_information_technology_professionals,perc_engineering_professionals,perc_web_and_multimedia_design_professionals,perc_design_occupations,perc_teaching_professionals,perc_business_research_and_administrative_professionals,perc_business_and_public_service_associate_professionals,perc_medical_practitioners,perc_natural_and_social_science_professionals,perc_other_health_professionals,perc_administrative_occupations,perc_media_professionals,perc_quality_and_regulatory_professionals,perc_legal_professionals,perc_finance_professionals,perc_artistic_literary_and_media_occupations,perc_elementary_occupations,perc_protective_service_occupations,perc_secretarial_and_related_occupations,perc_science_engineering_and_technology_associate_professionals,perc_sales_occupations,perc_skilled_trades_occupations,perc_conservation_and_environment_professionals,perc_business_and_financial_project_management_professionals,perc_process_plant_and_machine_operatives,perc_research_and_development_rand_d_and_other_research_professionals,perc_sports_and_fitness_occupations,perc_architects_chartered_architectural_technologists_planning_officers_surveyors_and_construction_professionals,perc_customer_service_occupations,perc_welfare_professionals,perc_leisure_travel_and_related_personal_service_occupations,perc_welfare_and_housing_associate_professionals,perc_caring_personal_services,perc_therapy_professionals,perc_teaching_and_childcare_support_occupation,perc_other_educational_professionals,perc_teaching_and_childcare_associate_professionals,perc_librarians_and_related_professionals,perc_nursing_professionals,perc_health_associate_professionals,perc_veterinarians,perc_animal_care_and_control_services,goinstlq,goinstmed,goinstuq,university,provaddress
10003270,10003270,F1F3,Chemistry with Molecular Physics,https://www.imperial.ac.uk/study/courses/undergraduate/chemistry-molecular-physics/,0,0,0,2.6315789473684217,29.824561403508778,2.3809523809523814,2.6315789473684217,0,5.0125313283208035,15.03759398496241,9.774436090225564,0,15.03759398496241,0,0,0,0,0,12.656641604010026,0,2.6315789473684217,0,0,2.3809523809523814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32000,36000,40000,"Imperial College of Science, Technology and Medicine","Faculty Building, Exhibition Road, London, SW7 2AZ"
10003270,10003270,F1FH,Chemistry with Molecular Physics and a Year in Industry,https://www.imperial.ac.uk/study/courses/undergraduate/chemistry-molecular-physics/#OptionA,2,0,0,2.6315789473684217,29.824561403508778,2.3809523809523814,2.6315789473684217,0,5.0125313283208035,15.03759398496241,9.774436090225564,0,15.03759398496241,0,0,0,0,0,12.656641604010026,0,2.6315789473684217,0,0,2.3809523809523814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,35000,42000,"Imperial College of Science, Technology and Medicine","Faculty Building, Exhibition Road, London, SW7 2AZ"
10003270,10003270,F1FH,Chemistry with Molecular Physics and a Year in Industry,https://www.imperial.ac.uk/study/courses/undergraduate/chemistry-molecular-physics/#OptionA,2,0,0,2.6315789473684217,29.824561403508778,2.3809523809523814,2.6315789473684217,0,5.0125313283208035,15.03759398496241,9.774436090225564,0,15.03759398496241,0,0,0,0,0,12.656641604010026,0,2.6315789473684217,0,0,2.3809523809523814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32000,36000,40000,"Imperial College of Science, Technology and Medicine","Faculty Building, Exhibition Road, London, SW7 2AZ"
10003270,10003270,F1NF,Chemistry with Management,https://www.imperial.ac.uk/study/courses/undergraduate/chemistry-management/,0,0,0,5.2631578947368425,26.31578947368421,0,5.2631578947368425,0,5.2631578947368425,15.789473684210526,5.2631578947368425,0,15.789473684210526,0,0,0,0,0,15.789473684210526,0,5.2631578947368425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32000,36000,40000,"Imperial College of Science, Technology and Medicine","Faculty Building, Exhibition Road, London, SW7 2AZ"
10003270,10003270,F300,Physics,https://www.imperial.ac.uk/study/courses/undergraduate/physics-bsc/,0,0,0,0,50,0,0,0,0,0,10,0,20,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,35000,42000,"Imperial College of Science, Technology and Medicine","Faculty Building, Exhibition Road, London, SW7 2AZ"
10003270,10003270,F303,Physics,https://www.imperial.ac.uk/study/courses/undergraduate/physics-msci/,0,0,0,0,31.578947368421055,15.789473684210527,0,0,5.263157894736843,15.789473684210527,15.789473684210527,0,15.789473684210527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,35000,42000,"Imperial College of Science, Technology and Medicine","Faculty Building, Exhibition Road, London, SW7 2AZ"
10003270,10003270,F309,Physics with a Year Abroad,https://www.imperial.ac.uk/study/courses/undergraduate/physics-msci/#OptionA,0,2,0,0,33.333333333333336,4.761904761904762,0,0,4.761904761904762,14.285714285714286,14.285714285714286,0,14.285714285714286,0,0,0,0,0,9.523809523809524,0,0,0,0,4.761904761904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,35000,42000,"Imperial College of Science, Technology and Medicine","Faculty Building, Exhibition Road, London, SW7 2AZ"
10003270,10003270,F325,Physics with Theoretical Physics,https://www.imperial.ac.uk/study/courses/undergraduate/physics-theoretical-bsc/,0,0,0,0,33.333333333333336,4.761904761904762,0,0,4.761904761904762,14.285714285714286,14.285714285714286,0,14.285714285714286,0,0,0,0,0,9.523809523809524,0,0,0,0,4.761904761904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,35000,42000,"Imperial College of Science, Technology and Medicine","Faculty Building, Exhibition Road, London, SW7 2AZ"
10003270,10003270,F390,Physics with Theoretical Physics,https://www.imperial.ac.uk/study/courses/undergraduate/physics-theoretical-msci/,0,0,0,0,25,0,0,0,10,25,20,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,35000,42000,"Imperial College of Science, Technology and Medicine","Faculty Building, Exhibition Road, London, SW7 2AZ"
10003270,10003270,F520,Earth and Planetary Science with a Year Abroad,https://www.imperial.ac.uk/study/courses/undergraduate/earth-planetary-science-msci/#abroad,0,2,0,2.3809523809523814,19.04761904761905,7.142857142857143,0,0,2.3809523809523814,14.285714285714288,14.285714285714288,0,21.428571428571434,0,0,0,0,0,4.761904761904763,0,2.3809523809523814,0,0,2.3809523809523814,0,2.3809523809523814,4.761904761904763,2.3809523809523814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,35000,42000,"Imperial College of Science, Technology and Medicine","Faculty Building, Exhibition Road, London, SW7 2AZ"
