title,degree_type,url_slug,url,row_number,URL,kiscourseid,A_level,A_level_subjects,GCSE,IB,IB_subjects,A_level_additional
Economics and Statistics,BSc (Econ),economics-and-statistics-bsc-econ,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/economics-and-statistics-bsc-econ,247,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/economics-and-statistics-bsc-econ,UBEECOASTA18,A*AA,"A* in Mathematics required. Further Mathematics preferred. If you are studying both then the A* can be in either subject. Other preferred subjects include Chemistry, Economics, Physics and Statistics.",English Language and Mathematics at grade C or 4.,39,"A total of 19 points in three higher level subjects including grade 7 in Mathematics, with no higher level score below 5. The programme will accept either 'Mathematics: Analysis and Approaches' or 'Mathematics: Applications and Interpretation' at higher level. Further Mathematics, Chemistry, Economics, Physics and Statistics preferred.",NA
Bachelor of Laws (UCL) and Bachelor of Laws (HKU),LLB,bachelor-laws-ucl-and-bachelor-laws-hku-llb,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bachelor-laws-ucl-and-bachelor-laws-hku-llb,248,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bachelor-laws-ucl-and-bachelor-laws-hku-llb,UBLLAWSHKD18,A*AA,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language and Mathematics at grade B or 6.,39,"A total of 19 points in three higher level subjects, with no higher level score below 5.",NA
Electronic and Electrical Engineering,BEng,electronic-and-electrical-engineering-beng,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/electronic-and-electrical-engineering-beng,249,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/electronic-and-electrical-engineering-beng,UBNEENSEEE22,A*AA,"A* in Mathematics required, plus either Physics or Further Mathematics preferred as the second subject.  Where students have Further Mathematics but not Physics then it is preferable to have Biology, Chemistry, Design and Technology, or Electronics as the third subject.",English Language and Mathematics at grade C or 4.,39,"A total of 19 points in three higher level subjects including grade 7 in Mathematics and preferably Physics, with no higher level score below 5. The programme will accept either 'Mathematics: Analysis and Approaches' or 'Mathematics: Applications and Interpretation' at higher level. 'Mathematics: Analysis and Approaches' is preferred.",NA
Architectural and Interdisciplinary Studies,BSc,architectural-and-interdisciplinary-studies-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/architectural-and-interdisciplinary-studies-bsc,250,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/architectural-and-interdisciplinary-studies-bsc,UBSARCSAIA18,AAB,"No specific subjects. Comprehensive portfolio of creative work required upon invitation, at application stage. At least two A level subjects should be taken from UCL's list of preferred A level subjects.",English Language and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects, with no higher level score below 5. No specific subjects are required but a comprehensive portfolio of creative work is required upon invitation, at application stage.",NA
Architectural and Interdisciplinary Studies,BSc,architectural-and-interdisciplinary-studies-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/architectural-and-interdisciplinary-studies-bsc,251,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/architectural-and-interdisciplinary-studies-bsc,UBSARCSAIS18,AAB,"No specific subjects. Comprehensive portfolio of creative work required upon invitation, at application stage. At least two A level subjects should be taken from UCL's list of preferred A level subjects.",English Language and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects, with no higher level score below 5. No specific subjects are required but a comprehensive portfolio of creative work is required upon invitation, at application stage.",NA
"Urban Planning, Design and Management",BSc,urban-planning-design-and-management-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/urban-planning-design-and-management-bsc,252,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/urban-planning-design-and-management-bsc,UBSARCSUDM18,AAB,"Geography, Economics, Government and Politics, History, Business, Design subjects, English Literature, Sociology, Anthropology, and Religious Education/Philosophy preferred",English Language and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects, with no higher level score below 5. Geography, Economics, Government and Politics, History, Business, Design subjects, English Literature, Sociology, Anthropology, and Religious Education/Philosophy preferred",NA
Bioprocessing of New Medicines (Business and Management),BSc,bioprocessing-new-medicines-business-and-management-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bioprocessing-new-medicines-business-and-management-bsc,253,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bioprocessing-new-medicines-business-and-management-bsc,UBSBIPSMBM18,AAA,"Biology, Chemistry or Physics required.",English Language and Mathematics at grade C or 4.,38,"A total of 18 points in three higher level subjects including grade 6 in one from Biology, Chemistry or Physics, with no higher level score below 5.",NA
Business and Health,BSc,business-and-health-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/business-and-health-bsc,254,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/business-and-health-bsc,UBSBUSAHEA01,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,"English Language at grade C or 4, plus Mathematics or Statistics at grade C or 4.",34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",NA
Crime and Security Science,BSc,crime-and-security-science-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/crime-and-security-science-bsc,255,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/crime-and-security-science-bsc,UBSCSSSING18,AAB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects. WJEC Level 3 Applied Diploma in Criminology is acceptable in lieu of one A Level subject.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects, with no higher level score below 5.",NA
Geography and Economics,BSc,geography-and-economics-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/geography-and-economics-bsc,256,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/geography-and-economics-bsc,UBSGEOAECO18,A*AA,"A* in Mathematics required. Plus, one from Geography, History or another essay based subject preferred but not required.",English Language and Mathematics at grade C or 4.,39,"A total of 19 points in three higher level subjects including grade 7 in Mathematics, plus one from Geography, History or another essay based subject preferred but not required, with no higher level score below 5.",NA
History and Philosophy of Science,BSc,history-and-philosophy-science-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/history-and-philosophy-science-bsc,257,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/history-and-philosophy-science-bsc,UBSHPSSING18,AAB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects, with no higher level score below 5.",NA
Infection and Immunity,BSc,infection-and-immunity-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/infection-and-immunity-bsc,258,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/infection-and-immunity-bsc,UBSIFCAIMM18,AAA,Biology and Chemistry required. Mathematics preferred.,English Language and Mathematics at grade B or 6.,38,"A total of 18 points in three higher level subjects including 6 in Biology and Chemistry, plus Mathematics preferred with no higher level score below 5. The programme will accept either 'Mathematics: Analysis and Approaches' or 'Mathematics: Applications and Interpretation' at higher level.",NA
