kiscourseid,url,university,offer_rate_clean
UBAFINANOR18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-norwegian-ba,University College London,Data Not Available
UBAFINAPOL18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-polish-ba,University College London,63
UBAFINAPOR18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-portuguese-ba,University College London,60
UBAFINAROM18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-romanian-ba,University College London,Data Not Available
UBAFINARUS18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-russian-ba,University College London,63
UBAFINASRB18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-serbian-croatian-ba,University College London,Data Not Available
UBAFINASPA18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-spanish-ba,University College London,63
UBAFINASWE18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-swedish-ba,University College London,63
UBAFINAUKR18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-ukrainian-ba,University College London,Data Not Available
UBAFINAYID18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-yiddish-ba,University College London,Data Not Available
UBAFREAENG18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-english-ba,University College London,76
UBAFREAGER18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-german-ba,University College London,70
UBAFREAHEB18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-hebrew-ba,University College London,63
UBAFREAHAR18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-history-art-ba,University College London,47
UBAFREAHUN18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-hungarian-ba,University College London,Data Not Available
UBAFREAITA18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-italian-ba,University College London,83
UBAFREALAT18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-latin-ba,University College London,63
UBAFREANOR18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-norwegian-ba,University College London,63
UBAFREAPHI18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-philosophy-ba,University College London,85
UBAFREAPOL18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-polish-ba,University College London,63
UBAFREAPOR18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-portuguese-ba,University College London,63
UBAFREAROM18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-romanian-ba,University College London,60
UBAFREARUS18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-russian-ba,University College London,94
UBAFREASRB18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-serbian-croatian-ba,University College London,63
UBAFREASPA18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-spanish-ba,University College London,89
UBAFREASWE18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-swedish-ba,University College London,63
UBAFREAUKR18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-ukrainian-ba,University College London,Data Not Available
UBAFREAYID18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-yiddish-ba,University College London,Data Not Available
UBAFRESING18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-ba,University College London,88
UBAFREWFLM18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-film-studies-ba,University College London,52
UBAFREWMAN18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-management-studies-ba,University College London,59
UBSGEOAECO18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/geography-and-economics-bsc,University College London,46
UBAGEOSING18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/geography-ba,University College London,78
UBSGEOSING18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/geography-bsc,University College London,77
UBAGEOSINT18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/geography-international-programme-ba,University College London,78
UBSGEOSINT18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/geography-international-programme-bsc,University College London,77
UBSEARSGEL18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/geology-bsc,University College London,60
UMSEARSGEL18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/geology-msci,University College London,64
UBSEARSPHY18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/geophysics-bsc,University College London,53
UMSEARSPHY18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/geophysics-msci,University College London,87
UBAGERAENG18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-english-ba,University College London,36
