title,crseurl
Mathematics with Statistics,https://www.imperial.ac.uk/study/courses/undergraduate/mathematics-statistics/
Mathematics with Statistics for Finance,https://www.imperial.ac.uk/study/courses/undergraduate/mathematics-statistics-finance/
Computing,https://www.imperial.ac.uk/study/courses/undergraduate/computing-beng/
Computing,https://www.imperial.ac.uk/study/courses/undergraduate/computing-meng/
Computing (International Programme of Study),https://www.imperial.ac.uk/study/courses/undergraduate/computing-international-programme-of-study/
Computing (Management and Finance),https://www.imperial.ac.uk/study/courses/undergraduate/computing-computational-management/
Computing (Software Engineering),https://www.imperial.ac.uk/study/courses/undergraduate/computing-software-engineering-meng/
Computing (Security and Reliability),https://www.imperial.ac.uk/study/courses/undergraduate/computing-security-reliability-meng/
Computing (Artificial Intelligence and Machine Learning),https://www.imperial.ac.uk/study/courses/undergraduate/computing-artificial-intelligence-meng/
Mathematics and Computer Science,https://www.imperial.ac.uk/study/courses/undergraduate/mathematics-computer-science-beng/
Mathematics and Computer Science,https://www.imperial.ac.uk/study/courses/undergraduate/mathematics-computer-science-meng/
Computing (Visual Computing and Robotics),https://www.imperial.ac.uk/study/courses/undergraduate/computing-visual-computing-robotics-meng/
Electronic and Information Engineering,https://www.imperial.ac.uk/study/courses/undergraduate/electronic-information-meng/
Molecular Bioengineering,https://www.imperial.ac.uk/study/courses/undergraduate/molecular-bioengineering/
Civil Engineering,https://www.imperial.ac.uk/study/courses/undergraduate/civil-engineering/
Civil Engineering with a Year Abroad,https://www.imperial.ac.uk/study/courses/undergraduate/civil-engineering/#OptionA
Mechanical Engineering,https://www.imperial.ac.uk/study/courses/undergraduate/mechanical-engineering/
Aeronautical Engineering,https://www.imperial.ac.uk/study/courses/undergraduate/aeronautical-engineering/
Electrical and Electronic Engineering,https://www.imperial.ac.uk/study/courses/undergraduate/electrical-electronic-engineering-beng/
Electrical and Electronic Engineering,https://www.imperial.ac.uk/study/courses/undergraduate/electrical-electronic-engineering-meng/
Electrical and Electronic Engineering with Management,https://www.imperial.ac.uk/study/courses/undergraduate/electrical-electronic-engineering-management/
Chemical Engineering,https://www.imperial.ac.uk/study/courses/undergraduate/chemical-engineering/
Electronic and Information Engineering,https://www.imperial.ac.uk/study/courses/undergraduate/electronic-information-beng/
