kiscourseid,url,degree_type,degree_title,a_level_grade_req,a_level_subject_reqs,ib_grade_req,ib_subject_req
UBSH4CSCI,https://www.kcl.ac.uk/study/undergraduate/courses/computer-science-with-a-year-in-industry-bsc,,,,,,
UBSH4CSMB,https://www.kcl.ac.uk/study/undergraduate/courses/mathematics-with-year-in-industry-bsc,,,,,,
UBSH4CSRI,https://www.kcl.ac.uk/study/undergraduate/courses/artificial-intelligence-with-a-year-in-industry-bsc,,,,,,
UBSH4CSSNI,https://www.kcl.ac.uk/study/undergraduate/courses/natural-sciences-bsc-year-in-industry,,,,,,
UBSH4SSBU,https://www.kcl.ac.uk/study/undergraduate/courses/international-management-bsc,,,,,,
UBSR3KSRA,https://www.kcl.ac.uk/study/undergraduate/courses/nursing-with-registration-as-an-adult-nurse-bsc,,,,,,
UBSR3KSRC,https://www.kcl.ac.uk/study/undergraduate/courses/nursing-with-registration-as-a-childrens-nurse-bsc,,,,,,
UBSR3KSRD,https://www.kcl.ac.uk/study/undergraduate/courses/midwifery-with-registration-as-a-midwife-bsc,,,,,,
UBSR3KSRM,https://www.kcl.ac.uk/study/undergraduate/courses/nursing-with-registration-as-a-mental-health-nurse-bsc,,,,,,
UBSR3MSPT,https://www.kcl.ac.uk/study/undergraduate/courses/physiotherapy-bsc,,,,,,
UMBB5MSMD,https://www.kcl.ac.uk/study/undergraduate/courses/medicine-mbbs,,,,,,
UMBB6MSMD,https://www.kcl.ac.uk/study/undergraduate/courses/extended-medical-degree-programme-mbbs,,,,,,
UMEH4CSBG,https://www.kcl.ac.uk/study/undergraduate/courses/biomedical-engineering-meng,,,,,,
UMEH4CSEK,https://www.kcl.ac.uk/study/undergraduate/courses/electronic-engineering-meng,,,,,,
UMEH4CSMENG,https://www.kcl.ac.uk/study/undergraduate/courses/general-engineering-meng,,,,,,
UMPH4BSPR,https://www.kcl.ac.uk/study/undergraduate/courses/pharmacy-mpharm,,,,,,
UMSH4CCBYI,https://www.kcl.ac.uk/study/undergraduate/courses/chemistry-with-biomedicine-with-year-in-industry-msci,,,,,,
UMSH4CCHYI,https://www.kcl.ac.uk/study/undergraduate/courses/chemistry-with-year-in-industry-msci,,,,,,
UMSH4CJPHPI,https://www.kcl.ac.uk/study/undergraduate/courses/physics-and-philosophy-msci,,,,,,
UMSH4CMCH,https://www.kcl.ac.uk/study/undergraduate/courses/chemistry-msci,,,,,,
UMSH4CMPHTP,https://www.kcl.ac.uk/study/undergraduate/courses/physics-with-theoretical-physics-msci,,,,,,
UMSH4CSCB,https://www.kcl.ac.uk/study/undergraduate/courses/chemistry-with-biomedicine-msci,,,,,,
UMSH4CSCS,https://www.kcl.ac.uk/study/undergraduate/courses/computer-science-msci,,,,,,
UMSH4CSFI,https://www.kcl.ac.uk/study/undergraduate/courses/artificial-intelligence-msci,,,,,,
UMSH4CSMM,https://www.kcl.ac.uk/study/undergraduate/courses/mathematics-msci,,,,,,
UMSH4CSPH,https://www.kcl.ac.uk/study/undergraduate/courses/physics-msci,,,,,,
UMSH4CSSNL,https://www.kcl.ac.uk/study/undergraduate/courses/natural-sciences-msci,,,,,,
UMSH4MPHAC,https://www.kcl.ac.uk/study/undergraduate/courses/physics-with-astrophysics-and-cosmology-msci,,,,,,
UMSH5CSHD,https://www.kcl.ac.uk/study/undergraduate/courses/mathematics-with-year-in-industry-msci,,,,,,
